location,total,BEEF,PIG,POULTRY,SHEEP
USA,100.55120328935703,26.7293486139702,23.302141032229,50.0713589267626,0.44835471639525
AUS,92.5681787987675,18.3061203554003,22.2856265964878,44.7674041728219,7.20902767405751
ARG,89.9427094864333,39.6930414166216,11.1075472308644,38.182081438707,0.960039400240306
ISR,88.40525840765655,20.3276273859528,1.36284163216104,65.1118153302743,1.60297405926842
BRA,77.67262419623773,24.5911002492012,12.2711994305261,40.2605168496156,0.549807666894842
CHL,75.38989278442358,18.8933783544562,19.2662894192094,36.8155707739482,0.414654236809779
NZL,74.89795722541282,11.7664204185344,18.9349293469092,39.613317689444,4.58328977052522
CAN,68.1470478204473,17.6454236226423,15.7406044106492,33.8710827065993,0.889937080556491
RUS,63.55871535345712,10.3456620585043,20.0975976880051,31.6716749419491,1.44378066499862
GBR,61.13611112058715,11.6668055859047,17.0314199725123,28.3163298179107,4.12155574425945
MYS,60.772179642652794,5.30436100458042,5.30104677348496,49.0022597853396,1.16451207924782
KOR,60.39080759951781,11.0347836121123,30.8206399658315,18.2311487228892,0.304235298684807
NOR,55.411118755045244,13.7036363719495,19.7360798652557,17.5796079912433,4.39179452659674
PER,54.43018864811629,4.14165144943747,4.18296274187409,45.0454016733068,1.06017278349793
VNM,53.08195842801508,9.45751420873198,29.957099864496,13.4975711507851,0.169773204001996
ZAF,52.436733353256436,12.3555298043504,3.4497553099765,34.018691664539,2.61275657439054
MEX,51.98227011543677,8.77373567141306,13.4418609465089,29.2488024629443,0.517871034570511
CHE,51.17638010443171,13.2201062913529,22.5009003562741,14.30701789114,1.14835556566471
COL,49.986574918693464,10.6763078140775,8.04178947139757,31.1245320622453,0.143945570973092
CHN,48.3690931781674,3.80705448931226,29.2504859587862,12.1347008977943,3.17685183227464
KAZ,47.77318419394016,19.4713571923728,4.77257110775444,15.2282660776928,8.30098981612012
PRY,40.82858728334916,13.6763904190466,21.3535942122811,5.29623124597125,0.50237140605021
SAU,40.75950088127431,4.01976796574177,0.498059463842157,32.4257730962324,3.81590035545799
JPN,40.74920923533209,7.43955698794546,16.1523276505959,16.9962765322175,0.16104806457323
UKR,40.13916000657804,5.03282430366614,12.5421457543804,22.2816961175811,0.282493830950404
WLD,34.43433217281387,6.43130388768072,11.9786817118672,14.2980869204296,1.72625965283635
IRN,32.29435455725237,5.2866950166685,0.016953211579378,22.943479319586,4.04722700941849
TUR,32.29005072702591,8.57396522652027,0.0000017780931028699,19.3514543910214,4.36462933139113
PHL,31.797539159411617,3.11867458779578,14.6652790802124,13.4972308681987,0.516354623204736
EGY,21.40387497168775,8.21757939012228,0.00714059185472626,12.0894899527381,1.08966503697264
THA,19.338335054286365,1.31102901273759,9.99085890471849,7.99283101270446,0.0436161241258223
PAK,14.419378702369846,6.39492385504998,0.0000038123830968464,5.97191395762301,2.05253707731376
IDN,10.987807373315173,1.98390566707599,1.00556646599705,7.56930570019135,0.429029540050782
NGA,4.988501236865099,1.3415416944737,1.04818309242728,0.860357858664559,1.73841859129956
IND,3.615142011260617,0.52973188018674,0.167764805304175,2.45549780202629,0.462147523743412
ETH,3.0271498642911707,2.54367185793091,0.0146179728311529,0.114176719287873,0.354683314241235
