"STATION","NAME","DATE","TMAX","TMIN"
"SWE00138886","STOCKHOLM A, SW","2018-04-07","49","33"
"SWE00138886","STOCKHOLM A, SW","2018-04-08","55","38"
"SWE00138886","STOCKHOLM A, SW","2018-04-09","53","35"
"SWE00138886","STOCKHOLM A, SW","2018-04-10","46","32"
"SWE00138886","STOCKHOLM A, SW","2018-04-11","47","27"
"SWE00138886","STOCKHOLM A, SW","2018-04-12","50","30"
"SWE00138886","STOCKHOLM A, SW","2018-04-13","54","34"
"SWE00138886","STOCKHOLM A, SW","2018-04-14","60","34"
"SWE00138886","STOCKHOLM A, SW","2018-04-15","58","38"
"SWE00138886","STOCKHOLM A, SW","2018-04-16","55","42"
"SWE00138886","STOCKHOLM A, SW","2018-04-17","59","41"
"SWE00138886","STOCKHOLM A, SW","2018-04-18","58","43"
"SWE00138886","STOCKHOLM A, SW","2018-04-19","64","45"
"SWE00138886","STOCKHOLM A, SW","2018-04-20","74","49"
"SWE00138886","STOCKHOLM A, SW","2018-04-21","69","46"
"SWE00138886","STOCKHOLM A, SW","2018-04-22","58","44"
"SWE00138886","STOCKHOLM A, SW","2018-04-23","52","41"
"SWE00138886","STOCKHOLM A, SW","2018-04-24","57","42"
"SWE00138886","STOCKHOLM A, SW","2018-04-25","58","44"
"SWE00138886","STOCKHOLM A, SW","2018-04-26","55","41"
"SWE00138886","STOCKHOLM A, SW","2018-04-27","53","41"
"SWE00138886","STOCKHOLM A, SW","2018-04-28","57","40"
"SWE00138886","STOCKHOLM A, SW","2018-04-29","50","43"
"SWE00138886","STOCKHOLM A, SW","2018-04-30","51","39"
"SWE00138886","STOCKHOLM A, SW","2018-05-01","56","42"
"SWE00138886","STOCKHOLM A, SW","2018-05-02","55","44"
"SWE00138886","STOCKHOLM A, SW","2018-05-03","55","41"
"SWE00138886","STOCKHOLM A, SW","2018-05-04","57","42"
"SWE00138886","STOCKHOLM A, SW","2018-05-05","66","44"
"SWE00138886","STOCKHOLM A, SW","2018-05-06","70","51"
"SWE00138886","STOCKHOLM A, SW","2018-05-07","75","53"
"SWE00138886","STOCKHOLM A, SW","2018-05-08","77","53"
"SWE00138886","STOCKHOLM A, SW","2018-05-09","69","51"
"SWE00138886","STOCKHOLM A, SW","2018-05-10","65","46"
"SWE00138886","STOCKHOLM A, SW","2018-05-11","69","53"
"SWE00138886","STOCKHOLM A, SW","2018-05-12","76","52"
"SWE00138886","STOCKHOLM A, SW","2018-05-13","75","50"
"SWE00138886","STOCKHOLM A, SW","2018-05-14","80","51"
"SWE00138886","STOCKHOLM A, SW","2018-05-15","81","54"
"SWE00138886","STOCKHOLM A, SW","2018-05-16","83","56"
"SWE00138886","STOCKHOLM A, SW","2018-05-17","70","50"
"SWE00138886","STOCKHOLM A, SW","2018-05-18","63","48"
"SWE00138886","STOCKHOLM A, SW","2018-05-19","70","46"
"SWE00138886","STOCKHOLM A, SW","2018-05-20","79","53"
